id,hashtag,postCount,recentPostCount1h,recentPostCount6h,recentPostCount24h,trendScore,createdAt,updatedAt
6938c0d9-70d8-4b79-8f3b-fdd503bedebe,lifttravels,1,0,0,0,0,2026-04-15 10:00:00.23765,2026-05-12 21:30:00.595
56d79301-ebf2-4bb5-ad28-c0b13dea9f77,5000,1,0,0,0,0,2026-04-06 20:00:00.246644,2026-05-01 22:30:00.331
dd116c79-2dd4-40ff-bfad-d4f2d288553e,80percentcommission,1,0,0,0,0,2026-04-15 10:00:00.250481,2026-05-12 21:30:00.604
f252673e-7350-4b1e-a084-2a920a15b9d9,billman77,1,0,0,0,0,2026-04-13 09:00:00.066724,2026-04-24 14:00:00.267
d6320efa-d74a-427b-9398-a1a95b0df1ef,personalfinance,1,0,0,0,0,2026-04-12 18:30:00.101631,2026-04-25 01:30:00.309
a04b2dbc-6508-409c-bc7a-7accec071b60,gangsofcalabar,1,0,0,0,0,2026-04-20 15:00:00.233674,2026-04-27 14:30:00.352
e84f4e24-9231-45cd-b238-d8b9a440ca52,knox,1,0,0,0,0,2026-04-18 15:30:00.091634,2026-04-25 15:00:00.263
582fc61d-2035-4abb-8769-c894f572f3b6,olliehumandevelopmentinitiative,2,0,0,0,0,2026-05-11 01:00:00.20162,2026-05-12 21:30:00.611
bdad1c12-8bbc-4acf-b145-3b91dec1a40b,ohdi,2,0,0,0,0,2026-05-11 01:00:00.242437,2026-05-12 21:30:00.616
ba52f72e-bc46-485a-ae85-b74504803950,sales,26,0,0,0,0,2026-04-08 16:00:00.060497,2026-05-12 21:30:00.644
